Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >Q48712|FEATURES|tetS|tetracycline|tetS	specific	206731	10	246	8.21586e-130	381.584	cd04168	TetM_like	 - 	cl38936
Q#1 - >Q48712|FEATURES|tetS|tetracycline|tetS	superfamily	481252	1	617	3.26966e-129	396.244	cl46912	PRK13351 superfamily	 - 	 - 
Q#2 - >gi:1033169662:ref:WP_064474184.1:|FEATURES|fosB|fosfomycin|fosB	superfamily	469426	1	138	6.84721e-102	287.104	cl49508	fosBx1_fam superfamily	 - 	 - 
Q#3 - >gi:1028094239:ref:WP_063851277.1:|FEATURES|fusH|fusidic-acid|fusH	specific	444365	7	246	9.71519e-26	105.887	COG5640	COG5640	 - 	cl44276
Q#3 - >gi:1028094239:ref:WP_063851277.1:|FEATURES|fusH|fusidic-acid|fusH	specific	433275	418	483	1.10337e-05	42.983	pfam13517	FG-GAP_3	 - 	cl21563
Q#3 - >gi:1028094239:ref:WP_063851277.1:|FEATURES|fusH|fusidic-acid|fusH	specific	433275	364	429	2.0889e-05	42.2126	pfam13517	FG-GAP_3	 - 	cl21563
Q#3 - >gi:1028094239:ref:WP_063851277.1:|FEATURES|fusH|fusidic-acid|fusH	specific	433275	256	321	5.97621e-05	41.057	pfam13517	FG-GAP_3	 - 	cl21563
Q#3 - >gi:1028094239:ref:WP_063851277.1:|FEATURES|fusH|fusidic-acid|fusH	specific	433275	310	375	6.03523e-05	41.057	pfam13517	FG-GAP_3	 - 	cl21563
Q#4 - >gi:310331651:gb:EFP98907.1:|FEATURES|mdtN|multidrug|mdtN	specific	182488	1	343	0	530.754	PRK10476	PRK10476	 - 	cl46872
Q#5 - >ZP_04417104|FEATURES|cat_chloramphenicol_acetyltransferase|phenicol|cat_chloramphenicol_acetyltransferase	specific	100040	21	180	2.1082e-73	218.568	cd03349	LbH_XAT	 - 	cl00160
Q#6 - >gi:510919091:ref:WP_016240021.1:|FEATURES|sdiA|unclassified|sdiA	specific	182292	1	240	6.14941e-175	480.437	PRK10188	PRK10188	 - 	cl32472
Q#7 - >L06156.1.gene1.p01|FEATURES|aac(2')-I|aminoglycoside|aac(2')-I	specific	442387	12	129	6.35583e-11	57.4026	COG3153	yhbS	 - 	cl43796
Q#8 - >gi:503995881:ref:WP_014229875.1:|FEATURES|sdiA|unclassified|sdiA	specific	182292	1	240	4.85208e-161	445.384	PRK10188	PRK10188	 - 	cl32472
Q#9 - >JN211012.1.gene1.p01|FEATURES|TEM-188|beta-lactam|TEM	specific	185339	3	286	0	604.154	PRK15442	PRK15442	 - 	cl21491
Q#10 - >gi:1016946559:ref:WP_063147892.1:|FEATURES|TolC|multidrug|TolC	specific	236529	1	448	0	799.538	PRK09465	tolC	 - 	cl30340
Q#11 - >gi:486394471:ref:WP_001604024.1:|FEATURES|mdtE|multidrug|mdtE	specific	137559	1	385	0	738.45	PRK09859	PRK09859	 - 	cl31380
Q#12 - >gi:730274062:ref:WP_033966812.1:|FEATURES|oprN|multidrug|oprN	superfamily	273830	17	467	6.01966e-80	255.799	cl36990	outer_NodT superfamily	 - 	 - 
Q#13 - >gi:447120618:ref:WP_001197874.1:|FEATURES|mdtB|multidrug|mdtB	specific	182501	1	1040	0	2068.17	PRK10503	PRK10503	 - 	cl39112
Q#14 - >gi:950228232:ref:WP_057272322.1:|FEATURES|aac(6')-31|aminoglycoside|aac(6')-31	superfamily	275224	1	184	8.74932e-137	379.228	cl29112	N6_acetyl_AAC6 superfamily	 - 	 - 
Q#15 - >gi:485802075:ref:WP_001422865.1:|FEATURES|mdtM|multidrug|mdtM	specific	237958	1	410	0	738.176	PRK15403	PRK15403	 - 	cl30558
Q#16 - >BAH62770|FEATURES|mdtG|multidrug|mdtG	specific	182127	1	401	0	686.654	PRK09874	PRK09874	 - 	cl27912
Q#17 - >gi:691130805:ref:WP_032046035.1:|FEATURES|tetR|tetracycline|tetR	specific	440920	3	145	1.40082e-20	83.4092	COG1309	AcrR	 - 	cl43380
Q#18 - >gi:928823370:ref:WP_053883673.1:|FEATURES|mdtH|multidrug|mdtH	specific	183255	1	400	0	739.18	PRK11646	PRK11646	 - 	cl27936
Q#19 - >gi:686316946:ref:WP_031873770.1:|FEATURES|mecA|beta-lactam|mecA	specific	440531	138	663	1.02026e-93	300.973	COG0768	FtsI	 - 	cl34037
Q#19 - >gi:686316946:ref:WP_031873770.1:|FEATURES|mecA|beta-lactam|mecA	superfamily	428377	25	140	1.10673e-21	90.576	cl04997	MecA_N superfamily	 - 	 - 
Q#20 - >gi:730611402:ref:WP_034052379.1:|FEATURES|oprN|multidrug|oprN	superfamily	273830	17	467	5.70689e-80	255.799	cl36990	outer_NodT superfamily	 - 	 - 
Q#21 - >gi:754703861:ref:WP_042079629.1:|FEATURES|sul1|sulfonamide|sul1	specific	184303	2	279	0	521.952	PRK13753	PRK13753	 - 	cl00219
Q#22 - >gi:486386994:ref:WP_001600655.1:|FEATURES|mdtF|multidrug|mdtF	superfamily	185081	1	1018	0	1661.96	cl39118	PRK15127 superfamily	 - 	 - 
Q#23 - >YP_791221|FEATURES|mexY|multidrug|mexY	specific	169981	1	1032	0	1961.98	PRK09577	PRK09577	 - 	cl31597
Q#24 - >GQ428198.1.gene1.p01|FEATURES|SHV-121|beta-lactam|SHV	specific	185339	1	284	0	563.323	PRK15442	PRK15442	 - 	cl21491
Q#25 - >gi:1039595452:ref:WP_064913515.1:|FEATURES|class_A|beta-lactam|class_A	specific	441934	35	290	5.2928e-84	253.667	COG2367	PenP	 - 	cl28588
Q#26 - >gi:556409769:ref:WP_023305794.1:|FEATURES|macA|MLS|macA	specific	183211	1	370	0	654.921	PRK11578	PRK11578	 - 	cl32708
Q#27 - >gi:556490519:ref:WP_023338245.1:|FEATURES|mdtH|multidrug|mdtH	specific	183255	1	400	0	736.098	PRK11646	PRK11646	 - 	cl27936
Q#28 - >AF031330.1.gene1.p1|FEATURES|aac(6')-I|aminoglycoside|aac(6')-I	specific	395465	14	132	2.37825e-17	72.5504	pfam00583	Acetyltransf_1	 - 	cl17182
Q#29 - >gi:545241182:ref:WP_021539983.1:|FEATURES|mdtB|multidrug|mdtB	specific	182501	1	1040	0	2068.17	PRK10503	PRK10503	 - 	cl39112
Q#30 - >gi:488957847:ref:WP_002868922.1:|FEATURES|cmeB|multidrug|cmeB	specific	440603	1	1031	0	1153.31	COG0841	AcrB	 - 	cl34050
Q#31 - >AB023477.1.gene1.p01|FEATURES|SHV-24|beta-lactam|SHV	specific	185339	1	284	0	561.011	PRK15442	PRK15442	 - 	cl21491
Q#32 - >gi:503924494:ref:WP_014158488.1:|FEATURES|ermC|MLS|ermC	specific	128898	19	180	5.38233e-72	217.378	smart00650	rADc	 - 	cl17173
Q#33 - >gi:950456443:ref:WP_057366755.1:|FEATURES|mfpA|fluoroquinolone|mfpA	superfamily	411082	1	183	1.00467e-125	351.287	cl41257	mfpA_AE000516.2 superfamily	 - 	 - 
Q#34 - >gi:749584951:ref:WP_040211911.1:|FEATURES|mexX|multidrug|mexX	superfamily	184990	1	370	0	515.419	cl33066	PRK15030 superfamily	 - 	 - 
Q#35 - >gi:695822139:ref:WP_032735794.1:|FEATURES|mdtK|multidrug|mdtK	specific	234981	1	457	0	708.503	PRK01766	PRK01766	 - 	cl09326
Q#36 - >gi:756416419:ref:WP_042635045.1:|FEATURES|fosB|fosfomycin|fosB	specific	179740	9	147	1.59775e-97	276.442	PRK04101	PRK04101	 - 	cl14632
